Андрей Шамраев;Правовое регулирование международных банковских сделок и сделок на международных финансовых рынках;БАНКОВСКОЕ ДЕЛО
Андрей Шамраев;Методология и бухгалтерский учет банковских розничных платежей: карты, переводы, чеки;БАНКОВСКОЕ ДЕЛО
Юрий Маслов;Военные приключения. Выпуск 3;ПОЭЗИЯ
Алексей Улюкаев;Чужое побережье;ПОЭЗИЯ
Ирина Вербицкая;Светотень;ПОЭЗИЯ
Владимир Спектор;Время предпоследних новостей;ПОЭЗИЯ
Чжамгон Конгтрул;Светоч уверенности;БУДДИЗМ
Борис Анин;Радиоэлектронный шпионаж;РАДИОЭЛЕКТРОНИКА
Римантас Плейкис;Радиоцензура;РАДИОЭЛЕКТРОНИКА
Михаил Николаенко;Самоучитель по радиоэлектронике;РАДИОЭЛЕКТРОНИКА
Иван Магазинников;Колонизация;КИБЕРПАНК
Дмитрий Изюм;Бот;КИБЕРПАНК
Сергей Зайцев;Душелов;КИБЕРПАНК
Игорь Павлов;Великолепная игра;КИБЕРПАНК
Гарольд Родригес;Краткое введение в программирование на Bash;ПРОГРАММИРОВАНИЕ
Джозеф Фокс;Программное обеспечение и его разработка;ПРОГРАММИРОВАНИЕ
Гради Буч;Объектно-ориентированный анализ и проектирование с примерами приложений на С++;ПРОГРАММИРОВАНИЕ
С. Бочков, Д. Субботин;Язык программирования Си для персонального компьютера;ПРОГРАММИРОВАНИЕ
